delta,theta,alpha,beta,gamma,EEGI2,heart rat2,PEI2,AI2,NA2,ELI2,BP2,CNSA2,LFHFR2,DS2,SYN2,VI2,ARI2,AGR2,Label
117.088241,3.40021558,4.02014639,3.01386889,1.19536864,0.84579397,0.74969133,0.88637583,34.4355346,0.03433433,1.12818961,1.33388231,0.40616198,29.9711615,1.18232103,17.1293993,0.84579397,2.46207192,3.36310177,0
18.2994632,3.68023303,4.5940324,2.9012711,1.42303884,0.80108992,0.6315304,0.78833897,4.97236536,0.25104739,1.26848988,1.58345506,0.35063791,4.78440166,1.24829932,2.93246247,0.80108992,2.85194494,3.22832538,0
19.9373399,8.05827666,13.75363,3.68383151,1.46814735,0.58590181,0.26784431,0.4571488,2.47414437,0.68984278,2.18747156,3.73351223,0.16889085,2.03550746,1.70677064,1.60548693,0.58590181,5.92098379,9.3680175,0
21.3936479,5.36912811,9.79887899,3.28294521,1.27053545,0.54793289,0.33503273,0.61144848,3.98456649,0.4580275,1.63546077,2.98478298,0.2164388,2.73120793,1.82504101,2.04579848,0.54793289,4.62024376,7.71240109,0
47.291581,6.35036585,6.02466197,4.61060547,3.20841799,1.05406177,0.76528866,0.72603777,7.44706402,0.12739396,1.37733881,1.30669649,0.37257334,8.90372723,0.94871101,5.04377978,1.05406177,2.68403529,1.87776717,0
32.4705202,4.11627114,3.97692228,3.03277944,1.9536012,1.03503937,0.7625946,0.73677835,7.88833366,0.12247794,1.3572603,1.31131273,0.37473211,9.1997753,0.96614682,5.21945053,1.03503937,2.66857303,2.03568788,0
29.2663011,3.91273006,4.80403372,3.14043221,1.94572961,0.81446765,0.65370736,0.80261918,7.47976494,0.16414899,1.24592088,1.52973648,0.36027502,6.90649424,1.22779585,4.17637025,0.81446765,2.77565736,2.46901403,0
34.0542087,4.74610872,4.4484651,3.81860262,2.29899003,1.06690928,0.85840903,0.80457546,7.17518514,0.13062894,1.24289149,1.1649458,0.41531045,8.72218092,0.93728681,4.69335909,1.06690928,2.4078373,1.93496494,0
52.5258879,5.32359983,5.31684352,4.68236876,3.89572239,1.00127074,0.88066702,0.87954935,9.86661086,0.1012233,1.13694587,1.13550294,0.44005392,10.8804195,0.99873088,5.7854045,1.00127074,2.27244882,1.36479014,0
14.431731,3.41290122,4.15766154,2.83840435,1.29697839,0.82087038,0.6826925,0.83166906,4.22858151,0.28809167,1.20240135,1.46478832,0.37492647,4.29198771,1.21821912,2.55066669,0.82087038,2.66718967,3.20565212,1
26.3848103,5.35095402,8.30000127,3.40646319,1.39374716,0.64469316,0.41041719,0.63660857,4.93086096,0.31457498,1.57082397,2.43654512,0.24954028,3.82358547,1.55112551,2.71096063,0.64469316,4.00736909,5.95516998,1
13.0682748,7.95864651,13.4112627,3.85329536,1.43610394,0.59343007,0.28731787,0.48416466,1.64202227,1.02624584,2.06541305,3.48046579,0.18031407,1.56785546,1.68511853,1.2179241,0.59343007,5.54587883,9.33864349,1
123.539789,3.78128635,3.97848379,3.11499992,1.72126106,0.95043402,0.78296157,0.82379371,32.6713656,0.03220407,1.21389613,1.27720189,0.40142941,32.0024114,1.05215089,17.9490192,0.95043402,2.49109802,2.31137733,0
13.6260828,3.59796514,3.97298524,3.15627508,1.73261964,0.90560748,0.79443413,0.87723893,3.78716364,0.29157208,1.13994029,1.2587576,0.41689285,4.33529119,1.10423116,2.41596563,0.90560748,2.39869789,2.29305102,0
22.8247022,5.86630048,7.95053782,3.31170264,1.64431651,0.73784952,0.41653819,0.56453,3.89081709,0.34833041,1.77138503,2.40074025,0.239686,3.60868702,1.3552899,2.54753952,0.73784952,4.17212528,4.83516269,0
40.8659804,6.15374631,7.96191055,3.49650467,1.62853505,0.7728982,0.43915398,0.56819123,6.64082955,0.19482979,1.75997086,2.27710565,0.247704,5.90558339,1.29383146,4.10351046,0.7728982,4.03707651,4.88900164,0
