delta,theta,alpha,beta,gamma,EEGI2,heart rat2,PEI2,AI2,NA2,ELI2,BP2,CNSA2,LFHFR2,DS2,SYN2,VI2,ARI2,AGR2,Label
114.9633755,2.222620134,4.41735349,3.615992897,2.648838318,0.503156503,0.818588077,1.626905489,51.7242572,0.038424007,0.614663855,1.221615644,0.544579407,26.52855287,1.987453196,14.58744463,0.503156503,1.836279499,1.667656897,0
6.115977999,2.939114365,4.118602267,3.554679742,2.537218385,0.713619372,0.86307915,1.209439069,2.080891466,0.673416789,0.826829582,1.158642287,0.503658609,2.198583834,1.40130725,1.180080747,0.713619372,1.985471869,1.623274642,0
8.9955227,4.595512166,7.35750429,4.244104845,2.587354133,0.624602037,0.576840281,0.923532501,1.957458141,0.817907367,1.082798926,1.733582124,0.35506559,1.847234379,1.601019435,1.171478431,0.624602037,2.816381049,2.843640225,0
15.85390625,4.206912392,6.396729798,4.366227135,2.497010152,0.657666108,0.682571763,1.037869755,3.768537295,0.403479729,0.963512035,1.46504742,0.411766736,3.136105365,1.520528407,1.863876141,0.657666108,2.428559455,2.561755623,0
55.97518052,4.2860513,6.237672154,7.197875143,5.517949588,0.687123528,1.15393611,1.67937214,13.05984847,0.111436392,0.595460634,0.866599105,0.68396658,9.660852691,1.455342393,4.485208565,0.687123528,1.462059739,1.130432972,0
36.31868918,3.506982181,3.905320486,5.26210081,4.170179136,0.898001123,1.347418433,1.500464085,10.35610884,0.107529225,0.66646047,0.742159952,0.709914455,10.19779849,1.113584354,4.34426106,0.898001123,1.408620423,0.936487465,0
45.08114194,3.448054754,4.264061519,4.124989012,3.233848297,0.808631568,0.967384967,1.196323523,13.07436951,0.094586369,0.835894288,1.033714637,0.534871216,11.38097949,1.236657137,5.784825889,0.808631568,1.869608925,1.318571908,0
28.64807032,3.911548979,5.384408084,6.664811398,5.576667051,0.726458492,1.237798342,1.703880338,7.323970752,0.187950114,0.586895674,0.807886039,0.716958066,6.047019243,1.376541138,2.702218127,0.726458492,1.394781714,0.965524396,0
32.65605517,5.345488642,6.180247476,8.535436942,8.111418377,0.864931164,1.381083359,1.596755229,6.109087001,0.189252726,0.626270064,0.724069256,0.740554604,6.148870893,1.156161371,2.582383716,0.864931164,1.35033932,0.761919456,0
8.889403487,2.498279795,3.512983636,3.628758113,2.607634281,0.711156115,1.032956167,1.452502686,3.558209735,0.395187781,0.688466885,0.96809529,0.603659805,3.241598727,1.406161008,1.594524653,0.711156115,1.656562175,1.347191844,1
